Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@asandrade_,@asandrade_,"<[2020-05-10T22:30:06.951Z, 2020-05-10T22:30:51.692Z]>",User,,,,,,,Sun Jun 19 21:27:41 COT 2011,,,,"En esta y otras vidas, yo nací a orillas del río y el mar. ❤🦂📷✈🏖🏝🌎👷Ingeniería ❤ @JuniorClubSA  🇦🇹",,http://pbs.twimg.com/profile_images/1226255270441082880/nZxawd9G_bigger.jpg,223,935,Sara,"Barranquilla, Colombia",,,
1259590242358767621,"Ustedes parecen maricas haciendo tantos pedidos por #Rappi sabiendo lo mal que son, conociendo todas las quejas que a diario reciben y lo poco que responden.

Muchos masoquistas ustedes","<[2020-05-10T22:30:06.951Z, 2020-05-10T23:21:51.899Z, 2020-05-10T23:23:46.132Z]>",Tweet,,,,,,,Sun May 10 16:04:50 COT 2020,es,FALSE,,,,,,,,,,,
1259611689177231360,RT @hyperconectado: Leyendo las quejas sobre #Rappi.  😂 https://t.co/2DBI4xYsCV,<[2020-05-10T22:30:09.195Z]>,Tweet,,,,,,,Sun May 10 17:30:03 COT 2020,es,FALSE,,,,,,,,,,,
@nathy_pz,@nathy_pz,<[2020-05-10T22:30:09.195Z]>,User,,,,,,,Thu May 12 15:36:30 COT 2011,,,,Cali 🧚‍♀️,,http://pbs.twimg.com/profile_images/1047325435552563203/A5tYZ0lz_bigger.jpg,293,178,Nathalia,Colombia,,,
1259611712417906688,Colapso de Rappi y otras plataformas en el día de las madres por exceso de pedidos. Esta es la denuncia de los usuarios -> https://t.co/IzTqZudMMl https://t.co/LxbtO6a6Xi,"<[2020-05-10T22:30:15.550Z, 2020-05-10T22:30:45.551Z, 2020-05-10T22:31:50.379Z, 2020-05-10T22:32:01.944Z, 2020-05-10T22:34:06.268Z, 2020-05-10T22:34:29.441Z, 2020-05-10T22:36:06.249Z, 2020-05-10T22:36:10.585Z, 2020-05-10T22:36:32.902Z, 2020-05-10T22:36:48.998Z, 2020-05-10T22:38:16.327Z, 2020-05-10T22:39:16.847Z, 2020-05-10T22:40:56.233Z, 2020-05-10T22:42:24.760Z, 2020-05-10T22:43:35.198Z, 2020-05-10T22:43:57.951Z, 2020-05-10T22:46:07.874Z, 2020-05-10T22:48:24.879Z, 2020-05-10T22:48:43.225Z, 2020-05-10T22:50:49.895Z, 2020-05-10T22:54:52.809Z, 2020-05-10T22:55:10.512Z, 2020-05-10T22:57:41.541Z, 2020-05-10T22:58:06.526Z, 2020-05-10T22:59:13.230Z, 2020-05-10T22:59:28.959Z, 2020-05-10T23:00:48.693Z, 2020-05-10T23:01:00.791Z, 2020-05-10T23:07:08.108Z, 2020-05-10T23:16:49.327Z, 2020-05-10T23:23:59.531Z, 2020-05-10T23:27:40.530Z, 2020-05-10T23:33:35.187Z, 2020-05-10T23:34:21.325Z, 2020-05-10T23:38:58.537Z, 2020-05-10T23:41:21.680Z, 2020-05-10T23:48:08.560Z, 2020-05-10T23:49:00.948Z]>",Tweet,,,,,,,Sun May 10 17:30:09 COT 2020,es,FALSE,,,,,,,,,,,
@citytv,@citytv,"<[2020-05-10T22:30:15.550Z, 2020-05-10T22:30:45.551Z, 2020-05-10T22:31:50.379Z, 2020-05-10T22:32:01.944Z, 2020-05-10T22:34:06.268Z, 2020-05-10T22:34:29.441Z, 2020-05-10T22:34:31.741Z, 2020-05-10T22:36:06.249Z, 2020-05-10T22:36:10.585Z, 2020-05-10T22:36:32.902Z, 2020-05-10T22:36:48.998Z, 2020-05-10T22:38:16.327Z, 2020-05-10T22:39:16.847Z, 2020-05-10T22:40:56.233Z, 2020-05-10T22:42:24.760Z, 2020-05-10T22:43:35.198Z, 2020-05-10T22:43:57.951Z, 2020-05-10T22:46:07.007Z, 2020-05-10T22:46:07.874Z, 2020-05-10T22:48:24.879Z, 2020-05-10T22:48:43.225Z, 2020-05-10T22:50:32.896Z, 2020-05-10T22:50:49.895Z, 2020-05-10T22:54:52.809Z, 2020-05-10T22:55:10.512Z, 2020-05-10T22:57:41.541Z, 2020-05-10T22:58:06.526Z, 2020-05-10T22:59:13.230Z, 2020-05-10T22:59:28.959Z, 2020-05-10T23:00:48.693Z, 2020-05-10T23:01:00.791Z, 2020-05-10T23:07:08.108Z, 2020-05-10T23:16:49.327Z, 2020-05-10T23:23:59.531Z, 2020-05-10T23:27:40.530Z, 2020-05-10T23:33:35.187Z, 2020-05-10T23:34:21.325Z, 2020-05-10T23:38:58.537Z, 2020-05-10T23:41:21.680Z, 2020-05-10T23:48:08.560Z, 2020-05-10T23:49:00.948Z]>",User,,,,,,,Tue May 19 10:41:01 COT 2009,,,,"Información de Colombia y el mundo, desde Bogotá. Nos renovamos sin perder la esencia ni la cercanía con ustedes #TuMundoAquí   https://t.co/K81NTLIFdb",,http://pbs.twimg.com/profile_images/1054474912205889538/V0uOoP5w_bigger.jpg,3548,3000935,Canal Citytv,Bogotá,,,
https://bit.ly/2xPqO0Q,https://bit.ly/2xPqO0Q,"<[2020-05-10T22:30:15.550Z, 2020-05-10T22:30:45.551Z, 2020-05-10T22:31:50.379Z, 2020-05-10T22:32:01.944Z, 2020-05-10T22:34:06.268Z, 2020-05-10T22:34:29.441Z, 2020-05-10T22:36:06.249Z, 2020-05-10T22:36:10.585Z, 2020-05-10T22:36:32.902Z, 2020-05-10T22:36:48.998Z, 2020-05-10T22:38:16.327Z, 2020-05-10T22:39:16.847Z, 2020-05-10T22:40:56.233Z, 2020-05-10T22:42:24.760Z, 2020-05-10T22:43:35.198Z, 2020-05-10T22:43:57.951Z, 2020-05-10T22:46:07.874Z, 2020-05-10T22:48:24.879Z, 2020-05-10T22:48:43.225Z, 2020-05-10T22:50:49.895Z, 2020-05-10T22:54:52.809Z, 2020-05-10T22:55:10.512Z, 2020-05-10T22:57:41.541Z, 2020-05-10T22:58:06.526Z, 2020-05-10T22:59:13.230Z, 2020-05-10T22:59:28.959Z, 2020-05-10T23:00:48.693Z, 2020-05-10T23:01:00.791Z, 2020-05-10T23:07:08.108Z, 2020-05-10T23:16:49.327Z, 2020-05-10T23:23:59.531Z, 2020-05-10T23:27:40.530Z, 2020-05-10T23:33:35.187Z, 2020-05-10T23:34:21.325Z, 2020-05-10T23:38:58.537Z, 2020-05-10T23:41:21.680Z, 2020-05-10T23:48:08.560Z, 2020-05-10T23:49:00.948Z]>",Link,,,,,,,,,,,,,,,,,,,,
http://pbs.twimg.com/media/EXsKLSzX0AIHD4y.jpg,http://pbs.twimg.com/media/EXsKLSzX0AIHD4y.jpg,"<[2020-05-10T22:30:15.550Z, 2020-05-10T22:30:45.551Z, 2020-05-10T22:31:50.379Z, 2020-05-10T22:32:01.944Z, 2020-05-10T22:34:06.268Z, 2020-05-10T22:34:29.441Z, 2020-05-10T22:36:06.249Z, 2020-05-10T22:36:10.585Z, 2020-05-10T22:36:32.902Z, 2020-05-10T22:36:48.998Z, 2020-05-10T22:38:16.327Z, 2020-05-10T22:39:16.847Z, 2020-05-10T22:40:56.233Z, 2020-05-10T22:42:24.760Z, 2020-05-10T22:43:35.198Z, 2020-05-10T22:43:57.951Z, 2020-05-10T22:46:07.874Z, 2020-05-10T22:48:24.879Z, 2020-05-10T22:48:43.225Z, 2020-05-10T22:50:49.895Z, 2020-05-10T22:54:52.809Z, 2020-05-10T22:55:10.512Z, 2020-05-10T22:57:41.541Z, 2020-05-10T22:58:06.526Z, 2020-05-10T22:59:13.230Z, 2020-05-10T22:59:28.959Z, 2020-05-10T23:00:48.693Z, 2020-05-10T23:01:00.791Z, 2020-05-10T23:07:08.108Z, 2020-05-10T23:16:49.327Z, 2020-05-10T23:23:59.531Z, 2020-05-10T23:27:40.530Z, 2020-05-10T23:33:35.187Z, 2020-05-10T23:34:21.325Z, 2020-05-10T23:38:58.537Z, 2020-05-10T23:41:21.680Z, 2020-05-10T23:48:08.560Z, 2020-05-10T23:49:00.948Z]>",Media,,,,,,,,,,,,,,,,,,,,
1259611722417045505,"CUPONS DE DESCONTO
RAPPI
hrp32015999 - 150 em frete grátis + 20R$

RECARGAPAY:
matr698 - Ganhe 10 reais para pagar boleto ou recarga.

IFOOD:
P8N9N9SMWB - 20 reais no seu primeiro pedido

99 CUPOM
BR6E2332 - Ganhe 15 reais na sua corrida.

Uber - vx453h
LINKS NO PERFILL https://t.co/BE1ncqrkP5",<[2020-05-10T22:30:16.982Z]>,Tweet,,,,,,,Sun May 10 17:30:11 COT 2020,pt,FALSE,,,,,,,,,,,
http://pbs.twimg.com/media/EXsKL53WAAcnwEm.jpg,http://pbs.twimg.com/media/EXsKL53WAAcnwEm.jpg,<[2020-05-10T22:30:16.982Z]>,Media,,,,,,,,,,,,,,,,,,,,
